Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
slurm-61781636	27781300	27637191	120995	20717	193953	159102	28451	6400	99.4812733745361	0.43552677520490407	0.0745717443028224	82.03121374766052	14.669017751723356	3.2997685006161284
slurm-61781639	31475181	31339882	113056	20004	192561	159880	26576	6105	99.57014067687172	0.35919094476374896	0.06355483706352634	83.02823520858325	13.80134087380103	3.1704239176157167
slurm-61781642	29171547	29042406	102908	24325	200659	164675	28230	7754	99.55730493141142	0.3527684013466958	0.08338604737006233	82.06708894193632	14.068643818617655	3.864267239446025
slurm-61781644	30799473	30666440	105750	25297	203960	166649	28976	8335	99.56806728478763	0.3433500306969538	0.08213452223679281	81.7067071974897	14.206707197489704	4.086585605020592
slurm-61781646	25317726	25212066	87430	16643	187720	157746	24479	5495	99.58266394067145	0.3453311723177666	0.06573655153705352	84.03260174728318	13.04016620498615	2.9272320477306626
slurm-61781648	26144354	26029191	91919	21365	193699	161226	25548	6925	99.55951101335302	0.35158260173496736	0.08171936472402416	83.23532904145091	13.189536342469502	3.575134616079587
slurm-61781650	26638266	26522070	92448	21956	196178	162522	26302	7354	99.56380043655994	0.3470496165178319	0.08242278232374435	82.84415173974655	13.4072118178389	3.748636442414542
slurm-61781653	30358693	30200465	131854	23886	198817	161354	30251	7212	99.47880496699906	0.43432041030224855	0.07867927647609863	81.15704391475577	15.215499680610813	3.6274564046334064
slurm-61781655	36266754	36110820	125344	27940	207409	167156	31874	8379	99.57003596186192	0.34561681478303796	0.07704025565673729	80.59245259366759	15.367703426562976	4.039843979769441
slurm-61781657	24896572	24789228	85983	19585	189678	158786	24613	6279	99.5688402403351	0.3453607990690445	0.07866544839988412	83.71345121732621	12.976201773531987	3.3103470091418083
slurm-61781659	24385447	24256888	107701	19079	189063	156656	26303	6104	99.47280441486268	0.44166096278653416	0.07823928755540138	82.85915276918277	13.912293785669327	3.228553445147914
slurm-61781662	21573624	21480689	73768	17786	187151	158236	22677	6238	99.56921933931916	0.3419360604412129	0.08244326497949533	84.5499088970938	12.116953689801283	3.333137413104926
