Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	Rsem_mqc-generalstats-rsem-alignable_percent	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Picard_mqc-generalstats-picard-PCT_RIBOSOMAL_BASES	Picard_mqc-generalstats-picard-PCT_MRNA_BASES	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed
F6_RAS_2_MP180.p2	93.76	22151771.0								26.1419	98.38560907324127	50782410.0	51615689.0	0.0	0.0631	91.7061	0.178391		
F6_RAS_3_MP180	93.75	23167662.0																	
F6_RAS_3_MP180.R1.trim			61.16283152310183	51.0	137.45181521648257	27.27272727272727	24711598.0												
F6_RAS_3_MP180.R2								9.260689092395616											
F6_RAS_3_MP180.R2.trim			62.27960961252105	51.0	137.2738719689435	18.181818181818183	24711598.0												
F6_RAS_3_MP180.RSEM									98.07614319591697										
F6_RAS_3_MP180.p2	93.75	23167662.0								27.5596	98.35172467723966	53037154.0	53926003.0	0.0	0.0619	91.0621	0.18415		
F6_RAS_4_MP180	93.76	22746832.0																	
F6_RAS_4_MP180.R1.trim			61.04423316652441	51.0	137.52299037946167	27.27272727272727	24261844.0												
F6_RAS_4_MP180.R2								9.247681026835297											
F6_RAS_4_MP180.R2.trim			62.58008860728193	51.0	137.2957062126028	18.181818181818183	24261844.0												
F6_RAS_4_MP180.RSEM									98.052423095901										
F6_RAS_4_MP180.p2	93.76	22746832.0								27.0007	98.32797771733128	52026745.0	52911436.0	0.0	0.0643	91.0878	0.182656		
F9_MOCK_1_MP180	94.09	26411633.0																	
F9_MOCK_1_MP180.R1.trim			63.38093410334044	52.0	136.77548160907477	27.27272727272727	28071834.0												
F9_MOCK_1_MP180.R2								9.768899679439585											
F9_MOCK_1_MP180.R2.trim			65.0203506362279	52.0	136.56249573861118	18.181818181818183	28071834.0												
F9_MOCK_1_MP180.RSEM									98.39105413073045										
F9_MOCK_1_MP180.p2	94.09	26411633.0								30.365	98.60273114152007	60300587.0	61155088.0	0.0	0.061700000000000005	92.2538	0.213734		
F9_MOCK_1_MP192	94.08	21084573.0																	
F9_MOCK_1_MP192.R1.trim			60.87313444538349	52.0	136.68564591108776	27.27272727272727	22410569.0												
F9_MOCK_1_MP192.R2								9.809551210946237											
F9_MOCK_1_MP192.R2.trim			62.305648611642575	52.0	136.45276931612045	18.181818181818183	22410569.0												
F9_MOCK_1_MP192.RSEM									98.56818141499993										
F9_MOCK_1_MP192.p2	94.08	21084573.0								23.935	98.75979844162444	48373288.0	48980748.0	0.0	0.06319999999999999	91.988	0.192881		
F9_MOCK_2_MP180	94.22	19924098.0																	
F9_MOCK_2_MP180.R1.trim			60.05388313921649	52.0	137.27309529051752	27.27272727272727	21146952.0												
F9_MOCK_2_MP180.R2								9.410147037153495											
F9_MOCK_2_MP180.R2.trim			61.43994938881403	52.0	137.08171920000575	18.181818181818183	21146952.0												
F9_MOCK_2_MP180.RSEM									98.51906982664437										
F9_MOCK_2_MP180.p2	94.22	19924098.0								22.7167	98.70784023188173	45434215.0	46028983.0	0.0	0.0628	92.3484	0.193074		
F9_MOCK_2_MP192	94.17	19894167.0																	
F9_MOCK_2_MP192.R1.trim			59.7673661679807	51.0	136.7814067066889	27.27272727272727	21126252.0												
F9_MOCK_2_MP192.R2								9.722939685507505											
F9_MOCK_2_MP192.R2.trim			61.18155358491633	52.0	136.56738133200344	18.181818181818183	21126252.0												
F9_MOCK_2_MP192.RSEM									98.644609071367										
F9_MOCK_2_MP192.p2	94.17	19894167.0								22.6105	98.82527568867425	45605150.0	46147253.0	0.0	0.058	92.1959	0.182544		
F9_MOCK_3_MP180	94.23	22711515.0																	
F9_MOCK_3_MP180.R1.trim			61.9382796289554	52.0	137.41841337803788	27.27272727272727	24101053.0												
F9_MOCK_3_MP180.R2								9.321140031751876											
F9_MOCK_3_MP180.R2.trim			63.82846630515605	52.0	137.20104631942846	18.181818181818183	24101053.0												
F9_MOCK_3_MP180.RSEM									98.54046254638145										
F9_MOCK_3_MP180.p2	94.23	22711515.0								25.9869	98.73243130824673	51852787.0	52518495.0	0.0	0.0702	92.271	0.207864		
F9_MOCK_3_MP192	93.96	22641205.0																	
F9_MOCK_3_MP192.R1.trim			61.88125066595836	51.0	137.6380549533542	27.27272727272727	24095854.0												
F9_MOCK_3_MP192.R2								9.209213182808238											
F9_MOCK_3_MP192.R2.trim			62.98885826425577	51.0	137.41492133874982	18.181818181818183	24095854.0												
F9_MOCK_3_MP192.RSEM									98.42289764683487										
F9_MOCK_3_MP192.p2	93.96	22641205.0								25.5733	98.63017422768772	51879662.0	52600193.0	0.0	0.0594	92.0179	0.201299		
F9_MOCK_4_MP180	94.34	24866499.0																	
F9_MOCK_4_MP180.R1.trim			62.644455326572675	52.0	136.9827044983161	27.27272727272727	26358530.0												
F9_MOCK_4_MP180.R2								9.580020035316842											
F9_MOCK_4_MP180.R2.trim			64.4366158080633	52.0	136.7766539332808	18.181818181818183	26358530.0												
F9_MOCK_4_MP180.RSEM									98.64592679153567										
F9_MOCK_4_MP180.p2	94.34	24866499.0								28.3838	98.8254493093516	56751967.0	57426470.0	0.0	0.0651	92.2707	0.207811		
F9_MOCK_4_MP192	94.34	18317943.0																	
F9_MOCK_4_MP192.R1.trim			58.685147084925845	51.0	141.5691796503102	27.27272727272727	19416866.0												
F9_MOCK_4_MP192.R2								6.572941898746139											
F9_MOCK_4_MP192.R2.trim			59.93119364626367	51.0	141.42735964702027	18.181818181818183	19416866.0												
F9_MOCK_4_MP192.RSEM									98.49804885576965										
F9_MOCK_4_MP192.p2	94.34	18317943.0								21.1309	98.68787959869591	41522951.0	42075026.0	0.0	0.0656	91.8865	0.172287		
F9_RAS_1_MP180	93.66	19580920.0																	
F9_RAS_1_MP180.R1.trim			59.194978485716035	51.0	137.4581738764839	27.27272727272727	20906910.0												
F9_RAS_1_MP180.R2								9.272702770597235											
F9_RAS_1_MP180.R2.trim			60.556136669676434	51.0	137.25600224997382	18.181818181818183	20906910.0												
F9_RAS_1_MP180.RSEM									97.97681484313513										
F9_RAS_1_MP180.p2	93.66	19580920.0								23.2353	98.25974343730087	44794191.0	45587531.0	0.0	0.0593	91.7114	0.166198		
F9_RAS_1_MP192	93.94	20570733.0																	
F9_RAS_1_MP192.R1.trim			59.021488285078455	51.0	137.0859855129318	27.27272727272727	21896770.0												
F9_RAS_1_MP192.R2								9.486585476329052											
F9_RAS_1_MP192.R2.trim			60.95431083638568	51.0	136.87533526634294	18.181818181818183	21896770.0												
F9_RAS_1_MP192.RSEM									98.14005020175523										
F9_RAS_1_MP192.p2	93.94	20570733.0								24.5613	98.40833803806989	46902583.0	47661188.0	0.0	0.0626	90.8865	0.16755		
F9_RAS_2_MP180	93.77	28721842.0																	
F9_RAS_2_MP180.R1.trim			64.24319464761422	51.0	136.62147497268109	27.27272727272727	30629869.0												
F9_RAS_2_MP180.R2								9.828212690495125											
F9_RAS_2_MP180.R2.trim			65.8352502180602	52.0	136.40601342434732	18.181818181818183	30629869.0												
F9_RAS_2_MP180.RSEM									98.13494069123878										
F9_RAS_2_MP180.p2	93.77	28721842.0								33.6304	98.3962936799092	65771684.0	66843660.0	0.0	0.056499999999999995	91.64569999999999	0.206097		
F9_RAS_2_MP192	93.76	24767667.0																	
F9_RAS_2_MP192.R1.trim			61.70672965562766	51.0	136.62453317646685	27.27272727272727	26417370.0												
F9_RAS_2_MP192.R2								9.864897010708992											
F9_RAS_2_MP192.R2.trim			63.33151067018632	51.0	136.3800474082015	18.181818181818183	26417370.0												
F9_RAS_2_MP192.RSEM									97.94833183917541										
F9_RAS_2_MP192.p2	93.76	24767667.0								29.5231	98.2369799217969	56532760.0	57547331.0	0.0	0.0624	91.0437	0.185688		
F9_RAS_3_MP180	93.51	24468238.0																	
F9_RAS_3_MP180.R1.trim			61.639932578298854	51.0	137.0189809487715	27.27272727272727	26166869.0												
F9_RAS_3_MP180.R2								9.592301208500853											
F9_RAS_3_MP180.R2.trim			63.32525235418262	51.0	136.788448170853	18.181818181818183	26166869.0												
F9_RAS_3_MP180.RSEM									97.90374483503794										
F9_RAS_3_MP180.p2	93.51	24468238.0								28.442	98.20001532442912	56070613.0	57098375.0	0.0	0.0547	91.21000000000001	0.186199		
F9_RAS_3_MP192	94.03	19955992.0																	
F9_RAS_3_MP192.R1.trim			59.40698411405644	51.0	137.67975537114037	27.27272727272727	21223007.0												
F9_RAS_3_MP192.R2								9.102702781675637											
F9_RAS_3_MP192.R2.trim			60.78933973084041	51.0	137.4669133360791	18.181818181818183	21223007.0												
F9_RAS_3_MP192.RSEM									98.19359067199703										
F9_RAS_3_MP192.p2	94.03	19955992.0								24.03	98.45506963987897	45438776.0	46151789.0	0.0	0.06530000000000001	90.6452	0.177204		
F9_RAS_4_MP180	93.58	19662073.0																	
F9_RAS_4_MP180.R1.trim			59.73036196876342	51.0	141.2954938013873	27.27272727272727	21011879.0												
F9_RAS_4_MP180.R2								6.814052246597782											
F9_RAS_4_MP180.R2.trim			60.203263362186036	51.0	141.05831191965268	18.181818181818183	21011879.0												
F9_RAS_4_MP180.RSEM									97.70325016233184										
F9_RAS_4_MP180.p2	93.58	19662073.0								23.1906	98.00993398061462	44600428.0	45506028.0	0.0	0.0545	91.18119999999999	0.171097		
F9_RAS_4_MP192	93.93	23170290.0																	
F9_RAS_4_MP192.R1.trim			60.29924650378409	51.0	137.44233578411888	27.27272727272727	24667057.0												
F9_RAS_4_MP192.R2								9.253663598976456											
F9_RAS_4_MP192.R2.trim			62.33550105249254	51.0	137.23750810645956	18.181818181818183	24667057.0												
F9_RAS_4_MP192.RSEM									98.03571331013868										
F9_RAS_4_MP192.p2	93.93	23170290.0								28.0125	98.3146999537878	52701473.0	53604876.0	0.0	0.0663	91.02510000000001	0.175646		
WT_MOCK_1_MP180	94.2	25113595.0																	
WT_MOCK_1_MP180.R1.trim			63.73189883986357	52.0	135.26759452189782	27.27272727272727	26660912.0												
WT_MOCK_1_MP180.R2								10.712929143675519											
WT_MOCK_1_MP180.R2.trim			65.3497272989483	52.0	135.04354108366584	18.181818181818183	26660912.0												
WT_MOCK_1_MP180.RSEM									98.73410804424053										
WT_MOCK_1_MP180.p2	94.2	25113595.0								28.4451	98.89666319220186	57620331.0	58263170.0	0.0	0.0619	93.0072	0.22802		
WT_MOCK_1_MP192	94.18	20537081.0																	
WT_MOCK_1_MP192.R1.trim			60.99785862055338	52.0	136.7709403364937	27.27272727272727	21807183.0												
WT_MOCK_1_MP192.R2								9.735996399900753											
WT_MOCK_1_MP192.R2.trim			62.527706100619326	52.0	136.55532555488713	18.181818181818183	21807183.0												
WT_MOCK_1_MP192.RSEM									98.74773481195544										
WT_MOCK_1_MP192.p2	94.18	20537081.0								23.5529	98.91477328375214	47194912.0	47712703.0	0.0	0.07429999999999999	92.1914	0.205022		
WT_MOCK_2_MP180	94.11	23690381.0																	
WT_MOCK_2_MP180.R1.trim			62.95177436019369	52.0	135.12535681458203	27.27272727272727	25173789.0												
WT_MOCK_2_MP180.R2								10.802963825836567											
WT_MOCK_2_MP180.R2.trim			64.75511675237392	53.0	134.89983875689114	18.181818181818183	25173789.0												
WT_MOCK_2_MP180.RSEM									98.71036472922657										
WT_MOCK_2_MP180.p2	94.11	23690381.0								26.7895	98.88140236760341	54505726.0	55122323.0	0.0	0.0735	92.7503	0.228322		
WT_MOCK_2_MP192	94.13	22798275.0																	
WT_MOCK_2_MP192.R1.trim			62.32432007048707	52.0	135.8907165464798	27.27272727272727	24220620.0												
WT_MOCK_2_MP192.R2								10.300710288766455											
WT_MOCK_2_MP192.R2.trim			64.17198158308676	52.0	135.66794726972307	18.181818181818183	24220620.0												
WT_MOCK_2_MP192.RSEM									98.75953164515217										
WT_MOCK_2_MP192.p2	94.13	22798275.0								26.1209	98.9281837211633	52524179.0	53093241.0	0.0	0.1016	92.2431	0.214748		
WT_MOCK_3_MP180	94.05	23301271.0																	
WT_MOCK_3_MP180.R1.trim			63.10548036045579	52.0	136.21241369295063	27.27272727272727	24775931.0												
WT_MOCK_3_MP180.R2								10.097094163277655											
WT_MOCK_3_MP180.R2.trim			64.83114234781695	52.0	135.98698248715658	18.181818181818183	24775931.0												
WT_MOCK_3_MP180.RSEM									98.58059140285172										
WT_MOCK_3_MP180.p2	94.05	23301271.0								26.5259	98.76838239127184	53524304.0	54191739.0	0.0	0.0665	92.67060000000001	0.22402		
WT_MOCK_3_MP192	93.78	22492310.0																	
WT_MOCK_3_MP192.R1.trim			61.94370645876416	52.0	135.84621218792142	27.27272727272727	23984664.0												
WT_MOCK_3_MP192.R2								10.383721263757407											
WT_MOCK_3_MP192.R2.trim			63.39923140473681	52.0	135.58786239406982	18.181818181818183	23984664.0												
WT_MOCK_3_MP192.RSEM									98.39470160852638										
WT_MOCK_3_MP192.p2	93.78	22492310.0								25.5347	98.61510793453665	51847320.0	52575433.0	0.0	0.0766	91.7701	0.20883		
WT_MOCK_4_MP180	94.21	24904714.0																	
WT_MOCK_4_MP180.R1.trim			62.80009702567548	52.0	136.46737127120318	27.27272727272727	26435538.0												
WT_MOCK_4_MP180.R2								9.906817836616396											
WT_MOCK_4_MP180.R2.trim			65.11156160321543	52.0	136.25870076863956	18.181818181818183	26435538.0												
WT_MOCK_4_MP180.RSEM									98.7552470252827										
WT_MOCK_4_MP180.p2	94.21	24904714.0								28.48	98.92298369211329	57182589.0	57805160.0	0.0	0.074	92.4944	0.217704		
WT_MOCK_4_MP192	93.62	19182311.0																	
WT_MOCK_4_MP192.R1.trim			58.61728974241163	51.0	137.3774287463376	27.27272727272727	20489017.0												
WT_MOCK_4_MP192.R2								9.342229296047272											
WT_MOCK_4_MP192.R2.trim			59.89072162768559	51.0	137.14555178513444	18.181818181818183	20489017.0												
WT_MOCK_4_MP192.RSEM									97.74778158700475										
WT_MOCK_4_MP192.p2	93.62	19182311.0								22.879	98.06829685574961	43683296.0	44543749.0	0.0	0.0683	90.7404	0.160884		
WT_RAS_1_MP180	93.87	20445692.0																	
WT_RAS_1_MP180.R1.trim			60.29994308001872	52.0	136.91938873274702	27.27272727272727	21781831.0												
WT_RAS_1_MP180.R2								9.62822303500664											
WT_RAS_1_MP180.R2.trim			61.96193353346908	52.0	136.6990178190254	18.181818181818183	21781831.0												
WT_RAS_1_MP180.RSEM									98.18013065478561										
WT_RAS_1_MP180.p2	93.87	20445692.0								24.2546	98.43558253784104	46846861.0	47591389.0	0.0	0.06949999999999999	91.8996	0.183306		
WT_RAS_1_MP192	94.12	16610951.0																	
WT_RAS_1_MP192.R1.trim			56.64071378408712	51.0	140.83014755002145	27.27272727272727	17648930.0												
WT_RAS_1_MP192.R2								7.023031342054178											
WT_RAS_1_MP192.R2.trim			58.244458600211495	51.0	140.65461860860688	18.181818181818183	17648930.0												
WT_RAS_1_MP192.RSEM									98.13404978813114										
WT_RAS_1_MP192.p2	94.12	16610951.0								20.3045	98.38611572419188	37568634.0	38184894.0	0.0	0.06899999999999999	91.5124	0.153223		
WT_RAS_2_MP180	93.74	22686738.0																	
WT_RAS_2_MP180.R1.trim			61.94656735663423	51.0	136.46043785651082	27.27272727272727	24202632.0												
WT_RAS_2_MP180.R2								9.931265034952801											
WT_RAS_2_MP180.R2.trim			63.683646503520954	52.0	136.24412117657286	18.181818181818183	24202632.0												
WT_RAS_2_MP180.RSEM									98.1757091174576										
WT_RAS_2_MP180.p2	93.74	22686738.0								26.7764	98.43798720595798	52156266.0	52983881.0	0.0	0.0671	91.6027	0.198054		
WT_RAS_2_MP192	93.73	21081957.0																	
WT_RAS_2_MP192.R1.trim			60.26211392589911	51.0	137.03244875504376	27.27272727272727	22491433.0												
WT_RAS_2_MP192.R2								9.582316353907125											
WT_RAS_2_MP192.R2.trim			61.80780100017827	51.0	136.80640348705217	18.181818181818183	22491433.0												
WT_RAS_2_MP192.RSEM									98.04279145537367										
WT_RAS_2_MP192.p2	93.73	21081957.0								25.2886	98.31636644720129	48190235.0	49015476.0	0.0	0.0719	91.3242	0.176243		
WT_RAS_3_MP180	93.6	20151947.0																	
WT_RAS_3_MP180.R1.trim			60.02007553509535	52.0	137.3697985235137	27.27272727272727	21528815.0												
WT_RAS_3_MP180.R2								9.325046799572412											
WT_RAS_3_MP180.R2.trim			61.43386793863707	52.0	137.16021717869748	18.181818181818183	21528815.0												
WT_RAS_3_MP180.RSEM									97.93701066022932										
WT_RAS_3_MP180.p2	93.6	20151947.0								23.9666	98.23076210229112	46205557.0	47037767.0	0.0	0.08270000000000001	91.6215	0.179974		
WT_RAS_3_MP192	94.03	18681634.0																	
WT_RAS_3_MP192.R1.trim			58.789136904134374	51.0	136.87534009108893	27.27272727272727	19867839.0												
WT_RAS_3_MP192.R2								9.645312784321687											
WT_RAS_3_MP192.R2.trim			60.69189657370732	51.0	136.65825996476013	18.181818181818183	19867839.0												
WT_RAS_3_MP192.RSEM									98.3592741607171										
WT_RAS_3_MP192.p2	94.03	18681634.0								22.3557	98.58944199564316	42718401.0	43329590.0	0.0	0.0727	91.5451	0.172079		
WT_RAS_4_MP180	93.67	25779697.0																	
WT_RAS_4_MP180.R1.trim			63.199426184923695	51.0	137.09683026491615	27.27272727272727	27521953.0												
WT_RAS_4_MP180.R2								9.507742016635367											
WT_RAS_4_MP180.R2.trim			64.81368715278802	51.0	136.88166388482676	18.181818181818183	27521953.0												
WT_RAS_4_MP180.RSEM									98.08336698196398										
WT_RAS_4_MP180.p2	93.67	25779697.0								30.3565	98.35408408554312	59191687.0	60182236.0	0.0	0.0629	91.7587	0.199299		
WT_RAS_4_MP192	93.59	24278859.0																	
WT_RAS_4_MP192.R1.trim			61.61899712243986	51.0	137.53885970517783	27.27272727272727	25942554.0												
WT_RAS_4_MP192.R2								9.245370162105914											
WT_RAS_4_MP192.R2.trim			63.29011241791068	51.0	137.3134571098898	18.181818181818183	25942554.0												
WT_RAS_4_MP192.RSEM									97.8762666160059										
WT_RAS_4_MP192.p2	93.59	24278859.0								29.2074	98.17537827457762	55484301.0	56515495.0	0.0	0.0741	91.12780000000001	0.182811		
output.F6_MOCK_1_MP180.p2																		46657286	46117649
output.F6_MOCK_2_MP180.p2																		62618156	61865876
output.F6_MOCK_3_MP180.p2																		46532902	46073763
output.F6_MOCK_4_MP180.p2																		50601244	49919058
output.F6_RAS_1_MP180.p2																		48550541	47744856
output.F6_RAS_2_MP180.p2																		51615689	50782410
output.F6_RAS_3_MP180.p2																		53926003	53037154
output.F6_RAS_4_MP180.p2																		52911436	52026745
output.F9_MOCK_1_MP180.p2																		61155088	60300587
output.F9_MOCK_1_MP192.p2																		48980748	48373288
output.F9_MOCK_2_MP180.p2																		46028983	45434215
output.F9_MOCK_2_MP192.p2																		46147253	45605150
output.F9_MOCK_3_MP180.p2																		52518495	51852787
output.F9_MOCK_3_MP192.p2																		52600193	51879662
output.F9_MOCK_4_MP180.p2																		57426470	56751967
output.F9_MOCK_4_MP192.p2																		42075026	41522951
output.F9_RAS_1_MP180.p2																		45587531	44794191
output.F9_RAS_1_MP192.p2																		47661188	46902583
output.F9_RAS_2_MP180.p2																		66843660	65771684
output.F9_RAS_2_MP192.p2																		57547331	56532760
output.F9_RAS_3_MP180.p2																		57098375	56070613
output.F9_RAS_3_MP192.p2																		46151789	45438776
output.F9_RAS_4_MP180.p2																		45506028	44600428
output.F9_RAS_4_MP192.p2																		53604876	52701473
output.WT_MOCK_1_MP180.p2																		58263170	57620331
output.WT_MOCK_1_MP192.p2																		47712703	47194912
output.WT_MOCK_2_MP180.p2																		55122323	54505726
output.WT_MOCK_2_MP192.p2																		53093241	52524179
output.WT_MOCK_3_MP180.p2																		54191739	53524304
output.WT_MOCK_3_MP192.p2																		52575433	51847320
output.WT_MOCK_4_MP180.p2																		57805160	57182589
output.WT_MOCK_4_MP192.p2																		44543749	43683296
output.WT_RAS_1_MP180.p2																		47591389	46846861
output.WT_RAS_1_MP192.p2																		38184894	37568634
output.WT_RAS_2_MP180.p2																		52983881	52156266
output.WT_RAS_2_MP192.p2																		49015476	48190235
output.WT_RAS_3_MP180.p2																		47037767	46205557
output.WT_RAS_3_MP192.p2																		43329590	42718401
output.WT_RAS_4_MP180.p2																		60182236	59191687
output.WT_RAS_4_MP192.p2																		56515495	55484301
